Title,Genres,Median Score
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,"['Comedy', 'Love Polygon', 'Romance', 'School']",
Versailles no Bara,"['Crossdressing', 'Drama', 'Historical', 'Military', 'Romance', 'Shoujo']",
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",['Drama'],
Violet Evergarden: Recollections,['Drama'],
Wu Shan Wu Xing: Xichuan Huan Zi Lin,"['Action', 'Fantasy', 'Historical', 'Martial Arts', 'Supernatural']",
Bakuman. 2nd Season,"['Comedy', 'Drama', 'Otaku Culture', 'Romance', 'Shounen']",
Fumetsu no Anata e,"['Adventure', 'Drama', 'Shounen', 'Supernatural']",
IDOLiSH7 Third Beat! Part 2,"['Drama', 'Idols (Male)', 'Music']",
Douluo Dalu 2nd Season,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts', 'Supernatural']",
Hibike! Euphonium 2,"['Drama', 'Music', 'Performing Arts', 'School']",
Kidou Senshi Gundam: The Origin,"['Action', 'Mecha', 'Military', 'Sci-Fi', 'Shounen', 'Space']",
Natsume Yuujinchou: Itsuka Yuki no Hi ni,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",
Psycho-Pass,"['Action', 'Adult Cast', 'Detective', 'Mystery', 'Psychological', 'Sci-Fi', 'Suspense']",
One Outs,"['Adult Cast', 'Psychological', 'Seinen', 'Sports', 'Suspense', 'Team Sports']",
Ashita no Joe,"['Combat Sports', 'Drama', 'Shounen', 'Sports']",
Bakemonogatari,"['Mystery', 'Romance', 'Supernatural', 'Vampire']",
Chi. Chikyuu no Undou ni Tsuite,"['Drama', 'Historical', 'Seinen']",
Dr. Stone: New World Part 2,"['Adventure', 'Comedy', 'Sci-Fi', 'Shounen']",
Fate/stay night: Unlimited Blade Works 2nd Season,"['Action', 'Fantasy', 'Urban Fantasy']",
Tunshi Xingkong 4th Season,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Sci-Fi']",
Uchuu Senkan Yamato 2199,"['Action', 'Adult Cast', 'Drama', 'Military', 'Sci-Fi', 'Space']",
Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,"['Drama', 'Romance', 'School', 'Supernatural']",
Tensei shitara Slime Datta Ken 2nd Season Part 2,"['Action', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation', 'Shounen']",
Major S6,"['Shounen', 'Sports', 'Team Sports']",
Natsume Yuujinchou Go Specials,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",
Romeo no Aoi Sora,"['Adventure', 'Drama', 'Historical']",
Ao no Hako,"['Romance', 'School', 'Shounen', 'Sports', 'Team Sports']",
Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,"['Adult Cast', 'Drama', 'Military', 'Sci-Fi', 'Space']",
Ginga Eiyuu Densetsu: Die Neue These - Sakubou,"['Adult Cast', 'Drama', 'Military', 'Sci-Fi', 'Space']",
Hunter x Hunter: Original Video Animation,"['Action', 'Adventure', 'Fantasy', 'Shounen']",
Diamond no Ace: Second Season,"['School', 'Shounen', 'Sports', 'Team Sports']",
Evangelion Movie 2: Ha,"['Action', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi', 'Suspense']",
Given,"['Boys Love', 'Drama', 'Music', 'School']",
Kaijuu 8-gou,"['Action', 'Adult Cast', 'Military', 'Sci-Fi', 'Shounen']",
Katanagatari,"['Action', 'Adventure', 'Historical', 'Martial Arts', 'Romance']",
Kemono no Souja Erin,"['Drama', 'Fantasy']",
Kingdom 2nd Season,"['Action', 'Historical', 'Military', 'Seinen']",
Luo Xiao Hei Zhan Ji (Movie),"['Adventure', 'Drama', 'Fantasy']",
Natsume Yuujinchou,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",
Ookami to Koushinryou II,"['Adult Cast', 'Adventure', 'Drama', 'Romance', 'Supernatural']",
Sasaki to Miyano Movie: Sotsugyou-hen,"['Boys Love', 'Otaku Culture', 'School']",
Kuroko no Basket 3rd Season,"['School', 'Shounen', 'Sports', 'Team Sports']",
Meitantei Conan Movie 06: Baker Street no Bourei,"['Adventure', 'Detective', 'Mystery', 'Shounen']",
One Piece: Gyojin Tou-hen,"['Action', 'Adventure', 'Fantasy', 'Shounen']",
Sakamichi no Apollon,"['Drama', 'Historical', 'Josei', 'Love Polygon', 'Music', 'Romance', 'School']",
Steins;Gate: Oukoubakko no Poriomania,"['Comedy', 'Sci-Fi', 'Time Travel']",
Tunshi Xingkong 2nd Season,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Sci-Fi']",
Beck,"['Drama', 'Music', 'Shounen']",
Initial D Final Stage,"['Racing', 'Seinen']",
Doukyuusei,"['Boys Love', 'School']",
Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,"['Adult Cast', 'Drama', 'Military', 'Sci-Fi', 'Space']",
Kino no Tabi: The Beautiful World,"['Adventure', 'Drama', 'Fantasy']",
Major: World Series,"['Shounen', 'Sports', 'Team Sports']",
Redline,"['Action', 'Adult Cast', 'Racing', 'Sci-Fi']",
Rurouni Kenshin: Meiji Kenkaku Romantan,"['Action', 'Comedy', 'Historical', 'Romance', 'Samurai', 'Shounen']",
Tokyo Godfathers,"['Award Winning', 'Childcare', 'Comedy', 'Drama']",
Yuukoku no Moriarty Part 2,"['Adult Cast', 'Historical', 'Mystery', 'Organized Crime', 'Psychological', 'Shounen', 'Suspense']",
Shirobako,"['Adult Cast', 'Award Winning', 'Comedy', 'Drama', 'Otaku Culture', 'Workplace']",
Suzume no Tojimari,"['Adventure', 'Mythology', 'Supernatural']",
Tenki no Ko,"['Award Winning', 'Drama', 'Romance', 'Supernatural']",
Yuru Camp△,"['CGDCT', 'Iyashikei', 'Slice of Life']",
Diamond no Ace: Act II,"['School', 'Shounen', 'Sports', 'Team Sports']",
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Mecha', 'Shounen']",
Fate/Zero,"['Action', 'Fantasy', 'Urban Fantasy']",
Gin no Saji 2nd Season,"['Comedy', 'School', 'Shounen']",
Koukaku Kidoutai,"['Action', 'Adult Cast', 'Award Winning', 'Detective', 'Mecha', 'Mystery', 'Psychological', 'Sci-Fi', 'Seinen', 'Suspense']",
Space☆Dandy 2nd Season,"['Adult Cast', 'Comedy', 'Sci-Fi', 'Space']",
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,"['Sci-Fi', 'Suspense', 'Time Travel']",
Tanoshii Muumin Ikka,"['Adventure', 'Fantasy', 'Iyashikei', 'Kids', 'Slice of Life']",
Tenkuu no Shiro Laputa,"['Adventure', 'Award Winning', 'Fantasy', 'Romance', 'Sci-Fi']",
Tsubasa: Tokyo Revelations,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance', 'Shounen']",
Gyakkyou Burai Kaiji: Ultimate Survivor,"['Adult Cast', 'High Stakes Game', 'Psychological', 'Seinen', 'Strategy Game', 'Suspense']",
Hajime no Ippo: Champion Road,"['Combat Sports', 'Shounen', 'Sports']",
