Title,Genres,Status,User Score
Kage no Jitsuryokusha ni Naritakute!,"['Action', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation']",Completed,9
Kage no Jitsuryokusha ni Naritakute! 2nd Season,"['Action', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation']",Completed,7
Kaguya-hime no Monogatari,"['Award Winning', 'Fantasy', 'Historical']",Completed,0
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,"['Comedy', 'Drama', 'Romance', 'School', 'Seinen']",Completed,9
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"['Comedy', 'Romance', 'School', 'Seinen']",Completed,8
Kaguya-sama wa Kokurasetai: Ultra Romantic,"['Comedy', 'Romance', 'School', 'Seinen']",Completed,9
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,"['Comedy', 'Romance', 'School', 'Seinen']",Completed,9
Kaifuku Jutsushi no Yarinaoshi,"['Action', 'Adventure', 'Drama', 'Erotica', 'Fantasy', 'Gore', 'Harem', 'Time Travel']",Completed,5
Kakegurui,"['Drama', 'High Stakes Game', 'Mystery', 'Psychological', 'School', 'Shounen', 'Strategy Game', 'Suspense']",Completed,0
Kakegurui××,"['Drama', 'High Stakes Game', 'Mystery', 'Psychological', 'School', 'Shounen', 'Strategy Game', 'Suspense']",Completed,0
Kakushigoto,"['Childcare', 'Comedy', 'Gag Humor', 'Otaku Culture', 'Shounen', 'Workplace']",Completed,9
Kami nomi zo Shiru Sekai,"['Comedy', 'Harem', 'Otaku Culture', 'Romance', 'Shounen', 'Supernatural']",Completed,0
Kami nomi zo Shiru Sekai II,"['Comedy', 'Harem', 'Otaku Culture', 'Romance', 'Shounen', 'Supernatural']",Completed,0
Kami nomi zo Shiru Sekai: Megami-hen,"['Comedy', 'Harem', 'Otaku Culture', 'Romance', 'Shounen', 'Supernatural']",Completed,0
