Title,Genres,Status
Henjin no Salad Bowl,"['Comedy', 'Fantasy', 'Urban Fantasy']",Completed
Hentai Ouji to Warawanai Neko.,"['Comedy', 'Harem', 'Romance', 'School', 'Supernatural']",Completed
Hige wo Soru. Soshite Joshikousei wo Hirou.,"['Drama', 'Romance']",Completed
High School DxD,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Mythology', 'Romance', 'School', 'Supernatural']",Completed
High School DxD BorN,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Mythology', 'Romance', 'School', 'Supernatural']",Completed
High School DxD New,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Mythology', 'Romance', 'School', 'Supernatural']",Completed
High School DxD OVA,"['Action', 'Comedy', 'Ecchi', 'Mythology', 'Romance', 'School', 'Supernatural']",Completed
High Score Girl,"['Comedy', 'Love Polygon', 'Love Status Quo', 'School', 'Seinen', 'Video Game']",Completed
High Score Girl II,"['Comedy', 'Love Polygon', 'Love Status Quo', 'School', 'Seinen', 'Video Game']",Completed
Highschool of the Dead,"['Action', 'Ecchi', 'Gore', 'Horror', 'Shounen', 'Supernatural', 'Survival', 'Suspense']",Completed
Higurashi no Naku Koro ni,"['Gore', 'Horror', 'Mystery', 'Psychological', 'Suspense']",Completed
Higurashi no Naku Koro ni Gou,"['Gore', 'Horror', 'Mystery', 'Psychological', 'Suspense']",Completed
Higurashi no Naku Koro ni Kai,"['Gore', 'Horror', 'Mystery', 'Psychological', 'Suspense']",Completed
Higurashi no Naku Koro ni Kai Specials,"['Comedy', 'Parody']",Completed
Higurashi no Naku Koro ni Kaku: Outbreak,"['Gore', 'Horror', 'Mystery', 'Psychological']",Completed
Higurashi no Naku Koro ni Kira,"['Comedy', 'Mystery', 'Parody']",Completed
Higurashi no Naku Koro ni Rei,"['Gore', 'Horror', 'Mystery', 'Psychological', 'Suspense']",Completed
Higurashi no Naku Koro ni Sotsu,"['Gore', 'Horror', 'Mystery', 'Psychological', 'Suspense']",Completed
Higurashi no Naku Koro ni Special: Nekogoroshi-hen,['Mystery'],Completed
Himouto! Umaru-chan,"['Comedy', 'Otaku Culture', 'School', 'Seinen']",Completed
Himouto! Umaru-chan R,"['Comedy', 'Otaku Culture', 'School', 'Seinen']",Completed
Hinamatsuri,"['Childcare', 'Comedy', 'Organized Crime', 'Seinen', 'Super Power']",Completed
Hitoribocchi no Marumaru Seikatsu,"['CGDCT', 'Comedy', 'School', 'Shounen']",Completed
Horimiya,"['Romance', 'School', 'Shounen']",Completed
Hotarubi no Mori e,"['Award Winning', 'Drama', 'Romance', 'Shoujo', 'Supernatural']",Completed
Howl no Ugoku Shiro,"['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance']",Completed
Hyouka,"['Mystery', 'School', 'Slice of Life']",Completed
Hyouka: Motsubeki Mono wa,"['Mystery', 'School', 'Slice of Life']",Completed
"Ijiranaide, Nagatoro-san","['Comedy', 'Love Status Quo', 'School']",Completed
"Ijiranaide, Nagatoro-san 2nd Attack","['Comedy', 'Love Status Quo', 'School']",Completed
Imouto sae Ireba Ii.,"['Adult Cast', 'Comedy', 'Ecchi', 'Otaku Culture', 'Romance', 'Workplace']",Completed
Inou-Battle wa Nichijou-kei no Naka de,"['Comedy', 'Harem', 'School', 'Super Power']",Completed
Inu to Hasami wa Tsukaiyou,"['Comedy', 'Reincarnation', 'Supernatural']",Completed
Inuyashiki,"['Action', 'Drama', 'Gore', 'Psychological', 'Sci-Fi', 'Seinen', 'Suspense']",Completed
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Isekai', 'Romance']",Completed
Isekai Ojisan,"['Adult Cast', 'Comedy', 'Fantasy', 'Isekai', 'Otaku Culture', 'Parody']",Completed
Isekai Quartet,"['Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed
Isekai Quartet 2,"['Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed
Isekai Shikkaku,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed
Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Video Game']",Completed
Itsudatte Bokura no Koi wa 10 cm Datta.,"['Drama', 'Romance', 'School', 'Visual Arts']",Completed
Jahy-sama wa Kujikenai!,"['Comedy', 'Shounen', 'Supernatural']",Completed
Jaku-Chara Tomozaki-kun,"['Drama', 'Romance', 'School']",Completed
Jaku-Chara Tomozaki-kun 2nd Stage,"['Drama', 'Romance', 'School']",Completed
Jibaku Shounen Hanako-kun,"['School', 'Shounen', 'Supernatural']",Completed
Jiisan Baasan Wakagaeru,"['Comedy', 'Romance', 'Supernatural']",Completed
Jitsu wa Watashi wa,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen', 'Supernatural', 'Vampire']",Completed
Joshikausei,"['CGDCT', 'Comedy', 'School', 'Slice of Life']",Completed
Joshikousei no Mudazukai,"['CGDCT', 'Comedy', 'Gag Humor', 'School']",Completed
Joshiraku,"['Adult Cast', 'Comedy', 'Gag Humor', 'Parody', 'Performing Arts', 'Shounen']",Completed
Jujutsu Kaisen,"['Action', 'Award Winning', 'School', 'Shounen', 'Supernatural']",Completed
Jujutsu Kaisen 2nd Season,"['Action', 'Gore', 'School', 'Shounen', 'Supernatural']",Completed
Kage no Jitsuryokusha ni Naritakute!,"['Action', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation']",Completed
Kage no Jitsuryokusha ni Naritakute! 2nd Season,"['Action', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation']",Completed
Kaguya-hime no Monogatari,"['Award Winning', 'Fantasy', 'Historical']",Completed
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,"['Comedy', 'Drama', 'Romance', 'School', 'Seinen']",Completed
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"['Comedy', 'Romance', 'School', 'Seinen']",Completed
Kaguya-sama wa Kokurasetai: Ultra Romantic,"['Comedy', 'Romance', 'School', 'Seinen']",Completed
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,"['Comedy', 'Romance', 'School', 'Seinen']",Completed
Kaifuku Jutsushi no Yarinaoshi,"['Action', 'Adventure', 'Drama', 'Erotica', 'Fantasy', 'Gore', 'Harem', 'Time Travel']",Completed
Kakegurui,"['Drama', 'High Stakes Game', 'Mystery', 'Psychological', 'School', 'Shounen', 'Strategy Game', 'Suspense']",Completed
Kakegurui××,"['Drama', 'High Stakes Game', 'Mystery', 'Psychological', 'School', 'Shounen', 'Strategy Game', 'Suspense']",Completed
Kakushigoto,"['Childcare', 'Comedy', 'Gag Humor', 'Otaku Culture', 'Shounen', 'Workplace']",Completed
Kami nomi zo Shiru Sekai,"['Comedy', 'Harem', 'Otaku Culture', 'Romance', 'Shounen', 'Supernatural']",Completed
Kami nomi zo Shiru Sekai II,"['Comedy', 'Harem', 'Otaku Culture', 'Romance', 'Shounen', 'Supernatural']",Completed
Kami nomi zo Shiru Sekai: Megami-hen,"['Comedy', 'Harem', 'Otaku Culture', 'Romance', 'Shounen', 'Supernatural']",Completed
"Kanojo, Okarishimasu","['Adult Cast', 'Comedy', 'Harem', 'Romance', 'Shounen']",Completed
Kanokon: Manatsu no Dai Shanikusai,"['Ecchi', 'Romance']",Completed
Karakai Jouzu no Takagi-san,"['Comedy', 'Love Status Quo', 'School', 'Shounen']",Completed
Karakai Jouzu no Takagi-san 2,"['Comedy', 'Love Status Quo', 'School', 'Shounen']",Completed
Kawaii dake ja Nai Shikimori-san,"['Comedy', 'Romance', 'School']",Completed
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School']",Completed
Kimetsu no Yaiba,"['Action', 'Award Winning', 'Historical', 'Shounen', 'Supernatural']",Completed
Kimetsu no Yaiba Movie: Mugen Ressha-hen,"['Action', 'Historical', 'Shounen', 'Supernatural']",Completed
Kimetsu no Yaiba: Yuukaku-hen,"['Action', 'Historical', 'Shounen', 'Supernatural']",Completed
Kimi ni Todoke,"['Drama', 'Romance', 'School', 'Shoujo']",Completed
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,"['Comedy', 'Harem', 'Parody', 'Romance', 'School', 'Seinen']",Completed
Kimi no Na wa.,"['Award Winning', 'Drama']",Completed
Kimi no Suizou wo Tabetai,"['Drama', 'Romance', 'School']",Completed
Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu,"['Ecchi', 'Fantasy', 'School', 'Shounen']",Completed
Kiseijuu: Sei no Kakuritsu,"['Action', 'Gore', 'Horror', 'Psychological', 'Sci-Fi', 'Seinen', 'Suspense']",Completed
Kishuku Gakkou no Juliet,"['Action', 'Comedy', 'Romance', 'School', 'Shounen']",Completed
Kobayashi-san Chi no Maid Dragon,"['Slice of Life', 'Supernatural']",Completed
"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai","['Slice of Life', 'Supernatural']",Completed
Koe no Katachi,"['Award Winning', 'Drama', 'Shounen']",Completed
Koi to Senkyo to Chocolate,"['Drama', 'Harem', 'Romance', 'School']",Completed
Koi to Uso,"['Drama', 'Love Polygon', 'Romance', 'School']",Completed
Koi to Yobu ni wa Kimochi Warui,"['Comedy', 'Romance', 'School']",Completed
Kokuhaku,['Horror'],Completed
Kono Bijutsu-bu ni wa Mondai ga Aru!,"['Comedy', 'Romance', 'School', 'Seinen', 'Visual Arts']",Completed
Kono Subarashii Sekai ni Bakuen wo!,"['Comedy', 'Fantasy']",Completed
Kono Subarashii Sekai ni Shukufuku wo!,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed
Kono Subarashii Sekai ni Shukufuku wo! 2,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed
Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed
Kono Subarashii Sekai ni Shukufuku wo! 3,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,"['Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed
Kono Yo no Hate de Koi wo Utau Shoujo YU-NO,"['Drama', 'Sci-Fi']",Completed
"Konyaku Haki sareta Reijou wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu","['Comedy', 'Fantasy', 'Romance']",Completed
Kore wa Zombie desu ka?,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Urban Fantasy', 'Vampire']",Completed
Kore wa Zombie desu ka? of the Dead,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Urban Fantasy', 'Vampire']",Completed
Kuzu no Honkai,"['Drama', 'Love Polygon', 'Romance', 'School', 'Seinen']",Completed
Kyokou Suiri,"['Adult Cast', 'Mystery', 'Mythology', 'Romance', 'Shounen', 'Supernatural']",Completed
Kyoukai no Kanata,"['Action', 'School', 'Supernatural']",Completed
Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,"['Action', 'Comedy', 'Fantasy', 'Video Game']",Completed
Level 1 dakedo Unique Skill de Saikyou desu,"['Adventure', 'Fantasy', 'Harem', 'Isekai', 'Reincarnation']",Completed
