Title,Genres,Rank,Average Score
Mononoke,"['Adult Cast', 'Historical', 'Horror', 'Mystery', 'Mythology', 'Psychological', 'Supernatural', 'Suspense']",183,
Natsume Yuujinchou Movie: Utsusemi ni Musubu,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",184,
Saenai Heroine no Sodatekata Fine,"['Comedy', 'Harem', 'Otaku Culture', 'Romance', 'School']",185,
Tian Guan Cifu,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Mythology']",186,
Wu Liuqi: Xuanwu Guo Pian,"['Action', 'Adventure', 'Comedy', 'Drama', 'Martial Arts', 'Mystery', 'Super Power']",187,
Gintama: Yorinuki Gintama-san on Theater 2D,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",188,
Hunter x Hunter,"['Action', 'Adventure', 'Fantasy', 'Shounen']",189,
Saiki Kusuo no Ψ-nan,"['Comedy', 'Gag Humor', 'School', 'Shounen', 'Super Power']",190,
Saiki Kusuo no Ψ-nan 2,"['Comedy', 'Gag Humor', 'School', 'Shounen', 'Super Power']",191,
Shingeki no Kyojin: Kuinaki Sentaku,['Action'],192,
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,['Drama'],193,
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"['Comedy', 'Romance', 'School', 'Seinen']",194,
Kamisama Hajimemashita: Kako-hen,"['Comedy', 'Mythology', 'Romance', 'Shoujo', 'Supernatural', 'Time Travel']",195,
Natsume Yuujinchou Roku Specials,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",196,
Karakai Jouzu no Takagi-san 3,"['Comedy', 'Love Status Quo', 'School', 'Shounen']",197,
Major S5,"['Shounen', 'Sports', 'Team Sports']",198,
Blue Giant,"['Music', 'Seinen']",199,
Girls Band Cry,"['Drama', 'Music']",200,
Houseki no Kuni,"['Action', 'Anthropomorphic', 'Drama', 'Fantasy', 'Mystery', 'Seinen']",201,
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,"['Drama', 'Fantasy']",202,
Vivy: Fluorite Eye's Song,"['Action', 'Music', 'Sci-Fi', 'Suspense', 'Time Travel']",203,
Yuru Camp△ Movie,"['Adult Cast', 'CGDCT', 'Iyashikei', 'Slice of Life']",204,
Josee to Tora to Sakana-tachi,"['Adult Cast', 'Drama', 'Romance', 'Visual Arts']",205,
Kaze ga Tsuyoku Fuiteiru,"['Adult Cast', 'Drama', 'Racing', 'Sports']",206,
Made in Abyss Movie 2: Hourou Suru Tasogare,"['Adventure', 'Drama', 'Fantasy', 'Gore', 'Mystery', 'Sci-Fi']",207,
Ramayana: The Legend of Prince Rama,['Adventure'],208,
Chihayafuru 2,"['Drama', 'Josei', 'Love Polygon', 'School', 'Sports', 'Strategy Game']",209,
Cowboy Bebop: Tengoku no Tobira,"['Action', 'Adult Cast', 'Sci-Fi', 'Space']",210,
Fruits Basket: Prelude,"['Drama', 'Romance', 'Shoujo']",211,
Gintama°: Aizome Kaori-hen,"['Comedy', 'Gag Humor', 'Parody', 'Shounen']",212,
3-gatsu no Lion,"['Childcare', 'Drama', 'Seinen', 'Strategy Game']",213,
Barakamon,"['Childcare', 'Iyashikei', 'Slice of Life', 'Visual Arts']",214,
Cross Game,"['Drama', 'Romance', 'School', 'Shounen', 'Sports', 'Team Sports']",215,
Haikyuu!! To the Top,"['School', 'Shounen', 'Sports', 'Team Sports']",216,
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),"['Action', 'Fantasy', 'Mystery', 'Romance', 'Suspense', 'Urban Fantasy']",217,
Kono Subarashii Sekai ni Shukufuku wo! 3,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']",218,
Mahou Shoujo Madoka★Magica,"['Award Winning', 'Drama', 'Mahou Shoujo', 'Psychological', 'Suspense']",219,
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"['Drama', 'Mahou Shoujo', 'Psychological', 'Suspense']",220,
Kizumonogatari I: Tekketsu-hen,"['Action', 'Mystery', 'Supernatural', 'Vampire']",221,
Meitantei Conan Movie 26: Kurogane no Submarine,"['Action', 'Detective', 'Mystery', 'Shounen']",222,
Mushoku Tensei: Isekai Ittara Honki Dasu,"['Adventure', 'Drama', 'Ecchi', 'Fantasy', 'Isekai', 'Reincarnation']",223,
Non Non Biyori Nonstop,"['CGDCT', 'Iyashikei', 'Seinen', 'Slice of Life']",224,
Tensei shitara Slime Datta Ken 2nd Season,"['Action', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation', 'Shounen']",225,
Gintama: Shiroyasha Koutan,"['Action', 'Comedy', 'Historical', 'Parody', 'Sci-Fi']",226,
Baccano!,"['Action', 'Adult Cast', 'Historical', 'Mystery', 'Organized Crime', 'Supernatural']",227,
Girls & Panzer: Saishuushou Part 4,"['CGDCT', 'Military', 'School']",228,
Hellsing Ultimate,"['Action', 'Adult Cast', 'Gore', 'Horror', 'Military', 'Seinen', 'Supernatural', 'Vampire']",229,
Initial D First Stage,"['Action', 'Drama', 'Racing', 'Seinen']",230,
K-On! Movie,"['Award Winning', 'CGDCT', 'Comedy', 'Music']",231,
Kaze no Tani no Nausicaä,"['Adventure', 'Award Winning', 'Fantasy']",232,
Kimetsu no Yaiba: Mugen Ressha-hen,"['Action', 'Historical', 'Shounen', 'Supernatural']",233,
Shinseiki Evangelion,"['Action', 'Avant Garde', 'Award Winning', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi', 'Suspense']",234,
Tunshi Xingkong 3rd Season,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Sci-Fi']",235,
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,"['Comedy', 'Love Polygon', 'Romance', 'School']",236,
Versailles no Bara,"['Crossdressing', 'Drama', 'Historical', 'Military', 'Romance', 'Shoujo']",237,
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",['Drama'],238,
Violet Evergarden: Recollections,['Drama'],239,
Wu Shan Wu Xing: Xichuan Huan Zi Lin,"['Action', 'Fantasy', 'Historical', 'Martial Arts', 'Supernatural']",240,
Bakuman. 2nd Season,"['Comedy', 'Drama', 'Otaku Culture', 'Romance', 'Shounen']",241,
Fumetsu no Anata e,"['Adventure', 'Drama', 'Shounen', 'Supernatural']",242,
IDOLiSH7 Third Beat! Part 2,"['Drama', 'Idols (Male)', 'Music']",243,
